,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,74,1,1,1,0,0,1,1,0,0,0,1,1,1,0,2,3,0,1,6
comp.graphics,0,87,3,3,2,6,3,0,1,0,0,0,3,0,3,2,1,0,0,0
comp.os.ms-windows.misc,0,5,100,7,1,2,3,1,0,0,1,0,5,1,0,0,0,0,0,0
comp.sys.ibm.pc.hardware,0,5,9,74,5,5,14,2,0,0,0,0,2,0,0,0,1,1,0,0
comp.sys.mac.hardware,0,0,2,2,85,1,6,1,0,0,2,0,2,0,1,0,0,0,0,0
comp.windows.x,1,5,3,5,1,97,2,0,0,0,1,1,2,1,1,0,0,0,0,2
misc.forsale,1,1,2,5,0,3,65,1,1,1,0,0,1,0,0,0,1,0,1,1
rec.autos,0,1,0,1,3,1,10,94,2,2,1,0,0,0,0,1,1,0,0,0
rec.motorcycles,0,1,2,0,1,0,5,0,128,2,1,2,1,0,0,0,0,0,0,0
rec.sport.baseball,0,0,1,1,0,1,2,0,0,102,3,1,1,0,0,0,1,0,0,1
rec.sport.hockey,0,0,2,1,1,0,2,0,1,2,131,0,1,0,1,1,0,0,0,0
sci.crypt,0,7,4,7,5,0,3,0,0,1,1,97,1,1,0,1,2,1,1,1
sci.electronics,1,3,0,3,4,2,3,2,1,2,1,1,101,0,1,2,0,1,0,0
sci.med,0,3,2,3,0,1,2,1,1,0,1,2,4,105,1,1,0,0,1,1
sci.space,1,1,2,1,2,3,4,0,3,0,1,1,5,1,116,2,1,0,3,1
soc.religion.christian,5,2,0,2,2,0,3,0,1,1,2,0,0,1,0,120,1,0,0,7
talk.politics.guns,0,2,0,1,0,1,0,0,1,0,0,2,2,4,0,1,105,0,3,3
talk.politics.mideast,1,3,2,2,4,0,2,2,1,0,1,1,1,1,0,3,2,116,5,3
talk.politics.misc,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,7,1,75,1
talk.religion.misc,5,0,1,1,0,0,1,1,0,0,1,0,1,2,0,2,1,0,3,52
