,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
alt.atheism,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
comp.graphics,0,91,5,7,7,5,1,0,0,0,0,0,2,1,1,0,0,0,0,0
comp.os.ms-windows.misc,0,4,107,7,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
comp.sys.ibm.pc.hardware,0,7,14,96,7,2,4,0,0,0,0,1,3,1,0,0,0,0,0,0
comp.sys.mac.hardware,0,3,1,8,92,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0
comp.windows.x,0,7,7,0,1,115,0,0,0,0,0,0,1,1,0,1,0,0,0,0
misc.forsale,0,0,0,4,3,1,84,2,2,1,0,0,5,0,1,0,0,0,0,0
rec.autos,0,0,0,0,1,0,5,102,2,0,1,0,2,0,0,0,0,0,0,0
rec.motorcycles,0,0,1,0,0,2,4,3,113,0,0,0,1,0,0,0,0,0,0,0
rec.sport.baseball,0,0,0,0,0,0,0,0,0,117,1,0,0,0,0,0,0,0,0,0
rec.sport.hockey,0,0,0,0,0,0,0,0,0,4,127,0,1,0,0,0,0,0,0,0
sci.crypt,0,3,2,2,1,1,1,1,0,0,0,117,1,0,1,0,0,2,0,1
sci.electronics,0,2,0,6,4,0,3,5,1,0,0,0,104,4,0,0,0,0,0,0
sci.med,0,2,0,0,0,1,2,1,0,2,0,2,0,109,0,1,2,0,1,0
sci.space,1,4,0,0,1,2,3,0,1,2,0,1,2,1,127,1,0,0,0,1
soc.religion.christian,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,0,0,7
talk.politics.guns,1,1,0,2,0,0,1,1,0,0,0,0,0,1,2,0,109,1,6,4
talk.politics.mideast,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,122,1,1
talk.politics.misc,1,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,3,0,81,3
talk.religion.misc,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,3,63
